TIMESTAMP,CPU,MEM
1732083862,2,14697
1732083862,2,17307
1732083863,6.7,14544
1732083863,1,17309
1732083864,2,14544
1732083865,2,17372
1732083865,1,14554
1732083866,2,17375
1732083867,7.7,14558
1732083867,1,17347
1732083868,2,14570
1732083868,2,17323
1732083869,1,14571
1732083869,1,17330
1732083870,2,14570
1732083871,2,17345
1732083872,7.7,14578
1732083872,1,17278
1732083873,2,14572
1732083873,2,17317
1732083874,1,14582
1732083874,2,17299
1732083876,1,14577
1732083876,1,17284
1732083877,2,14563
1732083877,7.7,17235
1732083878,2,14564
1732083878,2,17269
1732083879,1,14566
1732083879,2,17305
1732083881,1,14552
1732083881,7.7,17284
1732083882,2,14540
1732083882,2,17292
1732083883,2,14537
1732083883,2,17297
1732083884,1,14537
1732083884,1,17284
1732083886,8.7,14537
1732083886,8.7,28357
1732083887,1,14537
1732083887,1,17281
1732083888,2,14537
1732083888,2,14537
1732083889,2,14537
1732083889,2,14537
1732083891,2,14537
1732083891,2,14537
1732083892,1,14537
1732083892,1,14537
1732083893,2,14537
1732083893,2,14537
1732083894,2,14537
1732083894,2,14537
1732083896,2,14537
1732083896,2,14537
1732083897,2,14537
1732083897,2,14537
1732083898,1,14537
1732083898,1,14537
1732083899,7.7,14537
1732083899,7.7,14537
1732083901,7.7,14537
1732083901,7.7,14537
1732083902,1,14537
1732083902,1,14537
1732083903,2,14537
1732083903,2,14537
1732083904,2,14537
1732083904,2,14537
1732083906,1,14537
1732083906,1,14540
1732083907,8.7,14537
1732083907,8.7,14537
1732083908,2,14537
1732083908,2,14537
1732083909,2,14537
1732083909,2,14537
1732083911,1,14537
1732083911,1,14537
1732083912,1,14537
1732083912,1,14537
1732083913,3,14537
1732083913,3,14537
1732083914,1,14537
1732083914,1,14537
1732083916,2,14537
1732083916,2,14537
1732083917,2,14537
1732083917,2,14537
1732083918,1,14537
1732083918,1,14537
