"Timestamp (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets","VUS","RPS"
1732082482,13.0,67800,156.54,0.01,92,0,100.00641569547592
1732082483,12.9,67836,156.46,0.01,92,0,99.91053985385713
1732082485,13.0,67840,156.45,0.01,92,0,99.91549835414159
1732082486,13.0,67844,156.45,0.01,92,0,99.9193550416354
1732082487,21.0,67848,156.57,0.01,92,0,99.9249498801607
1732082488,13.0,68040,156.45,0.01,91,0,99.93190186730997
1732082489,12.0,68052,156.45,0.01,91,0,99.94272426903537
1732082491,13.0,68060,156.45,0.01,91,0,99.94991811738417
1732082492,13.9,68128,156.45,0.01,90,0,99.96154351992088
1732082493,13.0,68136,156.45,0.01,89,0,99.97144319906063
1732082494,12.0,68152,157.78,0.01,89,0,99.98313108619415
1732082495,22.0,68152,156.45,0.01,88,0,99.99061995827537
1732082496,13.3,66936,49.82,0.00,88,0,99.99701331048027
1732082615,24.0,54108,142.54,0.01,21,0,97.23191186555614
1732082616,13.0,57816,156.87,0.01,93,0,98.79240854544403
1732082617,22.0,58668,156.45,0.01,92,0,99.36249422279373
1732082619,14.0,60460,156.45,0.01,92,0,99.50803560987258
1732082620,14.0,60904,156.45,0.01,92,0,99.64360585563735
1732082621,22.0,61176,156.45,0.01,92,0,99.7517026442092
1732082622,11.9,61760,156.46,0.01,91,0,99.8327714173972
1732082623,22.0,61784,156.45,0.01,91,0,99.86546409408966
1732082625,13.0,62300,156.45,0.01,91,0,99.45279405550633
1732082626,13.0,62340,156.45,0.01,90,0,99.96023779316937
1732082627,14.0,62860,156.45,0.01,90,0,100.00632950257936
1732082628,13.9,62880,156.45,0.01,89,0,99.67054094498883
1732082629,21.0,62936,156.46,0.01,89,0,99.72693675381899
1732082631,14.0,61720,156.45,0.01,89,0,99.77114575288847
1732082632,23.0,61816,156.45,0.01,88,0,99.80721794002918
1732082633,14.0,62432,156.45,0.01,88,0,99.83755995964185
1732082634,12.0,62560,156.45,0.01,88,0,99.86937194435838
1732082635,13.0,62572,156.45,0.01,87,0,99.89132384546983
1732082637,23.0,62848,156.45,0.01,87,0,99.91239745280497
1732082638,13.0,64052,160.15,0.01,86,0,99.92941977552039
1732082639,13.0,64156,158.77,0.01,86,0,99.94347833014452
1732082640,21.0,64336,158.77,0.01,86,0,99.96110786674558
1732082641,12.9,64820,158.88,0.01,88,0,99.97745385489492
1732082643,12.0,64832,158.77,0.01,97,0,99.9916107352265
1732082644,22.0,64844,159.95,0.01,97,0,100.00357154608949
1732082645,14.0,65364,158.77,0.01,96,0,99.8565233709262
1732082646,13.0,65476,158.77,0.01,96,0,99.87817031482491
1732082647,12.9,65644,158.77,0.01,95,0,99.89613076948837
1732082649,23.0,65724,158.77,0.01,95,0,99.90970343863356
1732082650,13.0,66044,160.15,0.01,95,0,99.9210447852817
1732082651,14.0,66048,156.45,0.01,94,0,99.93459919643138
1732082652,22.0,66052,156.45,0.01,94,0,99.94563707196926
1732082653,14.0,66272,157.83,0.01,94,0,99.95548759619801
1732082655,14.0,66284,156.46,0.01,93,0,99.95974091918809
1732082656,13.0,66300,156.45,0.01,93,0,99.96787983279462
1732082657,23.0,66304,156.45,0.01,93,0,99.97618327826754
1732082658,14.0,66504,157.83,0.01,93,0,99.98570900690247
1732082659,13.0,66604,156.45,0.01,92,0,99.9934347026265
1732082661,14.0,66740,157.83,0.01,92,0,100.00334875493373
1732082662,13.0,66792,156.45,0.01,91,0,99.90336977735026
1732082663,14.0,66804,156.45,0.01,91,0,99.90973170424132
1732082664,13.0,66804,156.45,0.01,91,0,99.91859571884419
1732082665,24.0,66996,156.45,0.01,91,0,99.9249808024682
1732082667,13.0,67080,156.67,0.01,91,0,99.92810117256664
1732082668,12.0,67084,156.45,0.01,90,0,99.93335661814727
1732082669,14.0,67084,156.45,0.01,90,0,99.94253599337098
1732082670,22.8,67084,156.45,0.01,89,0,99.95187434830106
1732082671,13.0,67104,156.45,0.01,89,0,99.96000078012902
1732082673,13.0,67116,156.45,0.01,89,0,99.96401640054252
1732082674,13.3,67120,48.24,0.00,89,0,99.96986585543935
1732082816,24.0,51768,144.87,0.01,30,0,92.8507546826286
1732082817,13.9,54976,156.45,0.01,90,0,96.59337419436935
1732082818,23.0,56236,156.45,0.01,89,0,97.83298725044911
1732082819,13.0,58744,156.45,0.01,89,0,98.43009017913855
1732082821,13.0,59340,156.45,0.01,89,0,98.81793786432992
1732082822,25.0,59764,156.45,0.01,88,0,99.08252423667862
1732082823,12.9,60656,156.45,0.01,88,0,99.25308244572243
1732082824,23.0,60896,157.83,0.01,88,0,99.38388723721094
1732082825,13.0,61496,156.45,0.01,87,0,99.47665169763664
1732082827,12.0,61500,156.58,0.01,87,0,99.58534195498845
1732082828,24.0,61616,158.77,0.01,86,0,99.27539537555238
1732082829,12.9,62688,158.77,0.01,86,0,99.35631462459365
1732082830,12.0,62700,160.15,0.01,86,0,99.4253782194658
1732082831,23.0,62788,158.77,0.01,87,0,99.48684256134942
1732082833,14.0,63636,158.77,0.01,97,0,99.55063169619534
1732082834,12.0,63964,158.77,0.01,96,0,99.60091498401475
1732082835,22.0,64120,158.77,0.01,96,0,99.65020637838869
1732082836,13.0,64560,160.15,0.01,95,0,99.68157620127326
1732082837,12.9,64824,158.77,0.01,95,0,99.72470556311075
1732082838,13.0,64828,160.15,0.01,95,0,99.75892184045155
1732082840,22.8,64852,156.45,0.01,94,0,99.79222710734302
1732082841,13.0,64916,156.45,0.01,94,0,99.8110462552922
1732082842,13.0,64920,156.45,0.01,93,0,99.65472149471516
1732082843,23.0,64932,156.45,0.01,93,0,99.68081059460611
1732082844,13.0,64952,156.45,0.01,92,0,99.70733232406678
1732082846,12.9,64952,156.46,0.01,92,0,99.73187486108921
1732082847,23.0,64964,157.83,0.01,92,0,99.76037197604961
1732082848,14.0,65368,156.45,0.01,92,0,99.77449066138117
1732082849,14.0,65420,156.6,0.01,92,0,99.79079835971655
1732082850,13.0,65524,156.45,0.01,91,0,99.80977503733163
1732082852,13.9,65584,156.45,0.01,91,0,99.83238125913618
1732082853,13.0,65732,156.67,0.01,91,0,99.84960136929912
1732082854,14.0,65736,156.45,0.01,90,0,99.86317919735765
1732082855,22.8,65740,156.47,0.01,90,0,99.87482124443123
1732082856,14.0,65956,156.81,0.01,90,0,99.88140579729108
1732082858,14.0,65960,156.45,0.01,89,0,99.77857895044806
1732082859,12.9,65960,156.46,0.01,89,0,99.79070246450848
1732082860,12.0,66204,156.45,0.01,88,0,99.81001340937492
1732082861,12.0,66216,156.45,0.01,88,0,99.82164349617038
1732082862,13.0,66216,156.47,0.01,88,0,99.83095897238142
1732082864,23.0,66216,156.45,0.01,87,0,99.84512360236106
1732082865,13.0,66368,156.45,0.01,87,0,99.85866978566072
1732082866,13.0,66372,158.77,0.01,86,0,99.87050936818245
1732082867,23.8,66372,158.77,0.01,86,0,99.88293728685073
1732082868,13.0,66540,158.98,0.01,86,0,99.88962239662469
1732082870,14.0,66564,158.77,0.01,85,0,99.89589895281561
1732082871,13.9,66576,158.77,0.01,97,0,99.90756376019061
1732082872,23.0,66644,160.15,0.01,97,0,100.00242543781195
1732082873,14.0,66808,158.77,0.01,96,0,99.83515851194635
1732082874,13.3,66808,52.94,0.00,96,0,99.84233634391532
