"Timestamp (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets","VUS","RPS"
1732082437,14.0,49988,145.8,0.01,0,0,0
1732082438,22.8,54196,144.87,0.01,34,0,97.21958203780281
1732082439,13.0,57824,156.45,0.01,94,0,98.76933022001091
1732082440,24.0,58512,156.45,0.01,93,0,99.26560156141808
1732082441,14.0,60464,156.46,0.01,93,0,99.53004284431749
1732082443,14.0,60972,156.46,0.01,93,0,99.6769186467242
1732082444,23.0,61216,156.45,0.01,92,0,99.78047029016743
1732082445,12.9,61836,156.45,0.01,92,0,99.86216169507792
1732082446,23.0,61920,156.45,0.01,92,0,99.89647982249292
1732082447,14.0,62340,156.45,0.01,91,0,99.94998213467123
1732082449,13.0,62464,156.45,0.01,91,0,99.97415619498699
1732082450,13.0,62828,156.79,0.01,90,0,100.01462790047677
1732082451,13.0,62944,156.45,0.01,90,0,99.342706294976
1732082452,14.0,62964,157.83,0.01,90,0,99.75384960316059
1732082453,23.0,63236,156.45,0.01,89,0,99.7802661517548
1732082455,14.0,64616,156.45,0.01,89,0,99.82078166258873
1732082456,13.0,64624,157.83,0.01,88,0,99.85407389977902
1732082457,24.0,64828,156.45,0.01,88,0,99.88727855504735
1732082458,12.0,65424,156.46,0.01,88,0,99.89973354750042
1732082459,13.0,65748,156.46,0.01,87,0,99.93245523950402
1732082461,12.9,65748,156.46,0.01,87,0,99.94210604384246
1732082462,23.0,65756,158.91,0.01,86,0,99.96494974268148
1732082463,12.0,65908,158.77,0.01,86,0,99.9861933100856
1732082464,12.0,66068,158.77,0.01,86,0,99.99492956958294
1732082465,23.0,66172,158.77,0.01,86,0,100.00841260379055
1732082467,14.0,66488,158.77,0.01,85,0,99.84420742175237
1732082468,13.0,66680,158.77,0.01,97,0,99.86234684561471
1732082469,13.0,66680,158.77,0.01,97,0,99.88698575132702
1732082470,21.8,66684,158.77,0.01,96,0,99.9003988064729
1732082471,13.0,66960,158.89,0.01,96,0,99.91168607628802
1732082473,13.0,66972,158.77,0.01,96,0,99.92653099765532
1732082474,23.0,66972,158.77,0.01,95,0,99.93699678171443
1732082475,13.0,67232,158.77,0.01,95,0,99.94573713316747
1732082476,14.0,67472,156.45,0.01,95,0,99.95613651269704
1732082477,12.0,67616,156.45,0.01,94,0,99.96516587362812
1732082479,23.0,67656,156.45,0.01,94,0,99.9755639554538
1732082480,13.0,67684,156.45,0.01,93,0,99.98584899396413
1732082481,13.0,67704,156.46,0.01,93,0,99.99842027812016
