"Timestamp (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets","VUS","RPS"
1733326850,15.0,50552,135.15,0.01,0,0,0
1733326851,18.0,54308,110.6,0.01,100,0,92.64971769167772
1733326852,10.0,56764,110.6,0.01,100,0,96.48401090649867
1733326854,9.0,56856,110.6,0.01,100,0,99.19073159741684
1733326855,10.0,57168,110.6,0.01,100,0,98.37862364473999
1733326856,21.0,58520,110.6,0.01,100,0,98.79943709690001
1733326857,10.0,60488,110.6,0.01,100,0,99.03983461799271
1733326858,9.0,60512,110.6,0.01,100,0,99.24320422210826
1733326860,10.0,60536,111.64,0.01,100,0,99.36727364966832
1733326861,20.0,60556,110.6,0.01,100,0,99.49620056958253
1733326862,10.0,60996,110.6,0.01,100,0,99.57135961703578
1733326863,8.9,61080,110.6,0.01,100,0,99.27246828696923
1733326864,9.0,61088,110.63,0.01,100,0,99.36802676053645
1733326866,20.8,61124,110.6,0.01,100,0,99.44256215228292
1733326867,10.0,62088,110.6,0.01,100,0,99.50801778668286
1733326868,10.0,62284,110.61,0.01,100,0,99.57029769391086
1733326869,10.0,62364,110.6,0.01,100,0,99.62853208785947
1733326870,18.8,62376,110.6,0.01,100,0,99.67709169319998
1733326872,9.0,62672,110.6,0.01,100,0,99.70957307566444
1733326873,9.0,62688,110.6,0.01,100,0,99.73377949026964
1733326874,9.9,62712,110.6,0.01,100,0,99.76994036895381
1733326875,9.0,62716,110.6,0.01,100,0,99.79584118328025
1733326876,18.8,63524,110.61,0.01,100,0,99.82249771926325
1733326878,9.0,64608,110.6,0.01,100,0,99.66370833308095
1733326879,9.0,64628,110.61,0.01,100,0,99.69443472339049
1733326880,8.0,64644,110.61,0.01,100,0,99.89085282690783
1733326881,9.0,64652,110.61,0.01,100,0,99.74396026338121
1733326882,17.8,64656,110.6,0.01,100,0,99.76720181040169
1733326883,10.0,65376,110.6,0.01,100,0,99.79082161183614
1733326885,8.9,65408,110.6,0.01,100,0,99.81094121422547
1733326886,9.0,65424,110.6,0.01,100,0,99.82564321784022
1733326887,9.0,65432,110.6,0.01,100,0,99.84560397568036
1733326888,8.0,65444,110.6,0.01,100,0,99.85659218536412
1733326889,19.0,65452,110.6,0.01,100,0,99.87203069884907
1733326891,9.9,65656,110.6,0.01,100,0,99.76363830243844
1733326892,9.0,65732,110.6,0.01,100,0,99.78319896141323
1733326893,9.0,65736,110.6,0.01,100,0,99.91900912129421
1733326894,10.0,65740,111.71,0.01,100,0,99.82514744322522
1733326895,17.8,65744,110.6,0.01,100,0,99.83143239153914
1733326897,10.0,66328,110.6,0.01,100,0,99.84264214358103
1733326898,9.0,66888,110.6,0.01,100,0,99.85756524389849
1733326899,10.0,66888,110.6,0.01,100,0,99.97222752745161
1733326900,8.0,66896,110.6,0.01,100,0,99.8780597871424
1733326901,8.9,66900,110.6,0.01,100,0,99.99005114751336
1733326903,20.0,66904,110.6,0.01,100,0,99.90108724900027
1733326904,10.0,67416,110.6,0.01,100,0,99.82056128547977
1733326905,9.0,67608,110.6,0.01,100,0,99.83232959270731
1733326906,10.0,67616,110.6,0.01,100,0,99.84284938076843
1733326907,10.0,67616,110.61,0.01,100,0,99.85840587361595
1733326909,7.9,67624,110.6,0.01,100,0,99.86813173186094
1733326910,60.0,67632,45.86,0.00,100,0,99.87996371243753
